ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Meta: hwp_product_gtin,ID site
,simple,3346184,Pope Leo of the 7th ward shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Pope-Leo-of-the-7th-ward-shirt.jpg, https://images.serenashirt.com/2025/05/Pope-Leo-of-the-7th-ward-hoodie.jpg, https://images.serenashirt.com/2025/05/Pope-Leo-of-the-7th-ward-sweater.jpg, https://images.serenashirt.com/2025/05/Pope-Leo-of-the-7th-ward-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623092
,simple,3346198,Lara Croft Nokia N-Gage ’02 shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Lara-Croft-Nokia-N-Gage-02-shirt.jpg, https://images.serenashirt.com/2025/05/Lara-Croft-Nokia-N-Gage-02-hoodie.jpg, https://images.serenashirt.com/2025/05/Lara-Croft-Nokia-N-Gage-02-sweater.jpg, https://images.serenashirt.com/2025/05/Lara-Croft-Nokia-N-Gage-02-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623099
,simple,3346212,Mutt deluxe heel shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Mutt-deluxe-heel-shirt.jpg, https://images.serenashirt.com/2025/05/Mutt-deluxe-heel-hoodie.jpg, https://images.serenashirt.com/2025/05/Mutt-deluxe-heel-sweater.jpg, https://images.serenashirt.com/2025/05/Mutt-deluxe-heel-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623106
,simple,3346232,Pro migrant anti capitalist shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Pro-migrant-anti-capitalist-shirt.jpg, https://images.serenashirt.com/2025/05/Pro-migrant-anti-capitalist-hoodie.jpg, https://images.serenashirt.com/2025/05/Pro-migrant-anti-capitalist-sweater.jpg, https://images.serenashirt.com/2025/05/Pro-migrant-anti-capitalist-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623116
,simple,3346238,Greetings huzz cat shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Greetings-huzz-cat-shirt.jpg, https://images.serenashirt.com/2025/05/Greetings-huzz-cat-hoodie.jpg, https://images.serenashirt.com/2025/05/Greetings-huzz-cat-sweater.jpg, https://images.serenashirt.com/2025/05/Greetings-huzz-cat-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623119
,simple,3346244,Rancid 93 cover shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Rancid-93-cover-shirt.jpg, https://images.serenashirt.com/2025/05/Rancid-93-cover-hoodie.jpg, https://images.serenashirt.com/2025/05/Rancid-93-cover-sweater.jpg, https://images.serenashirt.com/2025/05/Rancid-93-cover-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623122
,simple,3346262,Alien baby shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Alien-baby-shirt.jpg, https://images.serenashirt.com/2025/05/Alien-baby-hoodie.jpg, https://images.serenashirt.com/2025/05/Alien-baby-sweater.jpg, https://images.serenashirt.com/2025/05/Alien-baby-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623131
,simple,3346274,777 931 if you know you know shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/777-931-if-you-know-you-know-shirt.jpg, https://images.serenashirt.com/2025/05/777-931-if-you-know-you-know-hoodie.jpg, https://images.serenashirt.com/2025/05/777-931-if-you-know-you-know-sweater.jpg, https://images.serenashirt.com/2025/05/777-931-if-you-know-you-know-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623137
,simple,3346286,Vitor Belfort wearing god won shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Vitor-Belfort-wearing-god-won-shirt.jpg, https://images.serenashirt.com/2025/05/Vitor-Belfort-wearing-god-won-hoodie.jpg, https://images.serenashirt.com/2025/05/Vitor-Belfort-wearing-god-won-sweater.jpg, https://images.serenashirt.com/2025/05/Vitor-Belfort-wearing-god-won-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623143
,simple,3346290,Beavis and Butthead ar-15 shoot to thrill shirt,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,,,,"https://images.serenashirt.com/2025/05/Beavis-and-Butthead-ar-15-shoot-to-thrill-shirt.jpg, https://images.serenashirt.com/2025/05/Beavis-and-Butthead-ar-15-shoot-to-thrill-hoodie.jpg, https://images.serenashirt.com/2025/05/Beavis-and-Butthead-ar-15-shoot-to-thrill-sweater.jpg, https://images.serenashirt.com/2025/05/Beavis-and-Butthead-ar-15-shoot-to-thrill-v-neck-t-shirt.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,1623145
